uid,facilitator,role,experience2,experience,grades,location,region,country,group,gender,expert,connect
404,0,curriculum,2,16,primary,PK,International,PK,OZ,female,0,0
405,0,libmedia,3,30,middle,NY,Northeast,US,MN,female,0,0
406,0,other,2,17,generalist,OH,Midwest,US,OZ,female,0,0
407,0,profdev,3,28,generalist,NJ,Northeast,US,MN,female,0,0
408,0,classteaching,2,13,generalist,CAN,International,CA,AL,female,0,0
409,0,instructionaltech,1,9,primary,MO,Midwest,US,MN,female,0,0
410,0,instructionaltech,1,2,generalist,ME,Northeast,US,MN,female,0,0
411,0,instructionaltech,1,6,generalist,WI,Midwest,US,OZ,female,0,0
412,0,classteaching,1,0,middle,ME,Northeast,US,MN,female,0,0
413,0,curriculum,1,2,middle,PK,International,PK,OZ,female,0,1
414,0,instructionaltech,2,19,generalist,TX,South,US,OZ,male,0,0
415,0,instructionaltech,2,18,generalist,NC,South,US,MN,male,1,1
416,0,projectmanagement,3,32,secondary,MA,Northeast,US,MN,male,0,0
417,0,otheredprof,1,0,generalist,PT,International,PT,OZ,male,0,1
418,0,classteaching,1,4,generalist,AL,South,US,AL,male,0,0
419,0,classteaching,2,12,secondary,ME,Northeast,US,MN,female,0,0
420,0,consultant,3,32,generalist,NC,South,US,MN,female,0,0
421,0,classteaching,2,16,primary,AZ,West,US,AL,female,0,0
422,0,curriculum,2,19,generalist,CAN,International,CA,AL,female,0,1
423,0,admin,2,14,secondary,MO,Midwest,US,MN,female,0,0
424,0,instructionaltech,3,21,generalist,VA,South,US,OZ,female,0,0
425,0,instructionaltech,3,21,generalist,WV,South,US,OZ,female,0,0
426,0,instructionaltech,1,5,secondary,GA,South,US,AL,female,0,0
427,0,instructionaltech,2,12,secondary,NC,South,US,MN,male,0,0
428,0,other,1,1,secondary,MD,South,US,MN,female,0,0
429,0,profdev,2,15,generalist,PK,International,PK,OZ,female,0,1
430,0,instructionaltech,3,24,generalist,AZ,West,US,AL,female,0,1
431,0,profdev,3,21,generalist,OR,West,US,OZ,female,0,0
432,0,instructionaltech,1,7,generalist,TX,South,US,OZ,female,0,1
433,0,libmedia,2,13,secondary,ID,West,US,AL,female,0,0
434,0,instructionaltech,3,25,generalist,WA,West,US,OZ,female,0,1
435,0,curriculum,2,20,primary,OR,West,US,OZ,male,0,1
436,0,curriculum,1,8,generalist,PK,International,PK,OZ,female,0,0
437,0,classteaching,1,7,generalist,NC,South,US,MN,male,0,0
438,0,instructionaltech,2,20,generalist,TX,South,US,OZ,female,0,1
439,0,curriculum,1,6,middle,OR,West,US,OZ,male,0,0
440,0,instructionaltech,3,33,generalist,WI,Midwest,US,OZ,male,0,0
441,0,curriculum,1,0,generalist,WA,West,US,OZ,male,0,0
442,0,techinfrastructure,1,7,generalist,WA,West,US,OZ,male,0,0
443,0,techinfrastructure,1,10,generalist,KS,Midwest,US,AL,male,0,0
444,0,instructionaltech,2,15,generalist,VA,South,US,OZ,male,0,0
445,0,curriculum,2,16,generalist,PK,International,PK,OZ,female,0,0
446,0,profdev,3,23,generalist,VA,South,US,OZ,female,0,1
447,0,techinfrastructure,1,2,secondary,RI,Northeast,US,OZ,female,0,0
448,0,other,1,0,NULL,AN,International,AN,AL,female,0,0
449,0,specialed,2,13,secondary,CAN,International,CA,AL,female,0,0
450,0,curriculum,3,25,primary,OR,West,US,OZ,female,0,0
451,0,libmedia,1,8,primary,TX,South,US,OZ,female,0,0
452,0,libmedia,2,15,generalist,NH,Northeast,US,MN,female,0,0
453,0,techinfrastructure,2,11,primary,CO,West,US,AL,female,0,0
454,0,instructionaltech,3,31,middle,WV,South,US,OZ,male,0,0
455,0,libmedia,2,16,secondary,NM,West,US,MN,female,0,1
456,0,curriculum,3,24,generalist,RI,Northeast,US,OZ,female,0,0
457,0,instructionaltech,1,8,generalist,ME,Northeast,US,MN,female,0,0
458,0,libmedia,3,21,secondary,NC,South,US,MN,female,0,0
459,0,classteaching,2,11,middle,MI,Midwest,US,MN,female,0,1
460,0,curriculum,2,20,primary,PK,International,PK,OZ,female,0,0
461,0,other,2,13,secondary,NC,South,US,MN,female,0,0
462,0,libmedia,2,20,generalist,NC,South,US,MN,female,0,0
463,0,profdev,2,20,generalist,CAN,International,CA,AL,female,0,1
464,0,instructionaltech,2,17,secondary,NC,South,US,MN,female,0,1
465,0,classteaching,1,8,generalist,CA,West,US,AL,female,0,0
466,0,other,1,0,secondary,DC,South,US,AL,female,0,0
467,0,instructionaltech,3,23,primary,VA,South,US,OZ,female,0,1
468,0,curriculum,3,48,secondary,NY,Northeast,US,MN,male,0,0
469,0,classteaching,2,15,secondary,RI,Northeast,US,OZ,male,0,0
470,0,curriculum,2,20,middle,VA,South,US,OZ,female,0,0
471,0,curriculum,1,0,generalist,NC,South,US,MN,female,0,1
472,0,instructionaltech,2,12,generalist,IN,Midwest,US,AL,male,0,0
473,0,instructionaltech,3,30,generalist,VA,South,US,OZ,male,0,0
474,0,instructionaltech,3,23,secondary,NC,South,US,MN,female,0,1
475,0,instructionaltech,2,13,generalist,PA,Northeast,US,OZ,male,1,1
476,0,instructionaltech,2,17,generalist,VA,South,US,OZ,female,0,1
477,0,curriculum,3,21,primary,WV,South,US,OZ,female,0,0
478,0,libmedia,1,7,middle,WI,Midwest,US,OZ,female,0,0
479,0,curriculum,1,5,generalist,MD,South,US,MN,female,0,0
480,0,classteaching,1,10,generalist,IN,International,IN,AL,male,0,0
481,0,instructionaltech,3,27,generalist,MD,South,US,MN,female,0,0
482,0,instructionaltech,2,18,secondary,FL,South,US,AL,female,0,1
483,0,instructionaltech,3,25,generalist,CA,West,US,AL,female,0,0
484,0,profdev,2,20,generalist,NC,South,US,MN,female,0,1
485,0,techinfrastructure,2,11,generalist,NH,Northeast,US,MN,female,0,0
486,0,curriculum,2,17,generalist,SA,International,SA,OZ,female,0,0
487,0,curriculum,3,30,generalist,NC,South,US,MN,male,0,0
488,0,instructionaltech,2,16,primary,TX,South,US,OZ,female,0,0
489,0,classteaching,1,10,middle,CAN,International,CA,AL,female,0,0
490,0,other,2,13,middle,OR,West,US,OZ,female,0,0
491,0,curriculum,1,9,generalist,GA,South,US,AL,male,0,0
492,0,curriculum,1,6,generalist,PK,International,PK,OZ,female,0,0
