UID,Facilitator,role1,experience,experience2,grades,location,region,country,group,gender,expert,connect
377,0,instructionaltech,2,11 to 20,generalist, NC,South,US,N,male,0,0
378,0,districtadmin,1,6 to 10,generalist, NC,South,US,N,male,0,0
379,0,otheredprof,2,11 to 20,secondary, NC,South,US,N,female,0,0
380,0,districtadmin,3,20+,secondary, NJ,Northeast,US,N,female,0,0
381,0,schooladmin,2,11 to 20,generalist, NJ,Northeast,US,N,female,0,0
382,0,curriculum,2,11 to 20,secondary, NC,South,US,N,female,0,0
383,0,districtadmin,3,20+,generalist, NC,South,US,N,female,0,0
384,0,instructionaltech,2,11 to 20,generalist, GA,South,US,DL,female,0,1
385,0,districtadmin,3,20+,generalist, TX,South,US,OT,female,0,0
386,0,instructionaltech,2,11 to 20,generalist,TH,International,TH,OT,female,0,0
387,0,instructionaltech,3,20+,generalist, OH,Midwest,US,OT,female,0,1
388,0,instructionaltech,2,11 to 20,generalist, TX,South,US,OT,male,0,0
389,0,curriculum,3,20+,generalist, PA,Northeast,US,OT,female,0,0
390,0,libmedia,1,6 to 10,primary, RI,Northeast,US,OT,female,0,0
391,0,curriculum,3,20+,primary, TX,South,US,OT,female,0,0
392,0,techinfrastructure,3,20+,generalist, AL,South,US,AC,male,0,0
393,0,instructionaltech,2,11 to 20,middle, WY,West,US,UZ,female,0,0
394,0,instructionaltech,1,6 to 10,generalist, WI,Midwest,US,UZ,male,0,0
395,0,districtadmin,2,11 to 20,generalist, WY,West,US,UZ,female,0,0
396,0,curriculum,2,11 to 20,generalist, WI,Midwest,US,UZ,male,0,0
397,0,otheredprof,1,4 to 5,generalist, WI,Midwest,US,UZ,female,0,0
398,0,curriculum,1,6 to 10,middle, MD,South,US,M,female,0,0
399,0,curriculum,2,11 to 20,generalist, MA,Northeast,US,M,female,0,0
400,0,classteaching,3,20+,college,MX,International,MX,M,male,0,1
401,0,techinfrastructure,2,11 to 20,secondary,MA,International,MA,M,female,0,0
402,0,schooladmin,2,11 to 20,generalist, MN,Midwest,US,M,male,0,0
403,0,instructionaltech,3,20+,generalist, MI,Midwest,US,M,female,0,0
404,0,otheredprof,1,6 to 10,primary, MO,Midwest,US,M,female,0,0
405,0,districtadmin,1,4 to 5,generalist, MA,Northeast,US,M,male,0,0
406,0,instructionaltech,2,11 to 20,generalist, MI,Midwest,US,M,female,0,0
407,0,instructionaltech,3,20+,secondary, ME,Northeast,US,M,female,0,0
408,0,techinfrastructure,3,20+,generalist, MO,Midwest,US,M,male,0,0
409,0,instructionaltech,1,6 to 10,generalist, NC,South,US,N,female,0,0
410,0,curriculum,1,4 to 5,generalist, NM,West,US,N,female,0,1
411,0,instructionaltech,3,20+,generalist, OR,West,US,OT,female,0,1
412,0,specialed,1,6 to 10,generalist, VA,South,US,UZ,female,0,0
413,0,instructionaltech,3,20+,generalist, SC,South,US,OT,female,0,1
414,0,instructionaltech,2,11 to 20,generalist,AZ,West,US,AC,female,0,0
415,0,profdev,3,20+,generalist, AR,South,US,AC,male,0,0
416,0,libmedia,2,11 to 20,secondary, CA,West,US,AC,female,0,0
417,0,classteaching,2,11 to 20,generalist, NJ,Northeast,US,N,female,0,0
418,0,instructionaltech,2,11 to 20,generalist, NH,Northeast,US,N,female,0,0
419,0,classteaching,3,20+,secondary, NC,South,US,N,female,0,0
420,0,districtadmin,2,11 to 20,generalist, MA,Northeast,US,M,female,0,0
421,0,instructionaltech,2,11 to 20,generalist, MN,Midwest,US,M,female,0,0
422,0,profdev,2,11 to 20,generalist, NC,South,US,N,female,0,1
423,0,curriculum,3,20+,generalist, VT,Northeast,US,UZ,male,0,0
424,0,libmedia,2,11 to 20,primary, CO,West,US,AC,female,0,0
425,0,districtadmin,3,20+,generalist, PA,Northeast,US,OT,male,0,1
426,0,districtadmin,1,6 to 10,generalist, OH,Midwest,US,OT,female,0,0
427,0,libmedia,3,20+,generalist, WI,Midwest,US,UZ,female,0,0
428,0,otheredprof,3,20+,primary, MA,Northeast,US,M,female,0,0
429,0,instructionaltech,1,0 to 3,generalist, NM,West,US,N,male,0,1
430,0,instructionaltech,2,11 to 20,generalist, NM,West,US,N,female,0,0
431,0,classteaching,2,11 to 20,middle, NH,Northeast,US,N,female,0,0
432,0,instructionaltech,1,6 to 10,secondary, NC,South,US,N,female,0,0
433,0,curriculum,3,20+,curriculum, AL,South,US,AC,female,0,0
434,0,instructionaltech,1,20+,generalist,MO,Midwest,US,M,female,1,0
435,0,instructionaltech,1,20+,high,MA,Northeast,US,M,male,1,0
436,0,profdev,2,11 to 20,generalist, NC,South,US,N,male,0,0
437,0,instructionaltech,1,20+,generalist,MO,Midwest,US,M,female,1,0
438,0,instructionaltech,1,11 to 20,generalist,OR,West,US,OT,male,1,0
439,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
440,0,profdev,2,11 to 20,secondary, NC,South,US,N,female,0,0
441,0,libmedia,3,20+,middle, TX,South,US,OT,female,0,0
442,0,districtadmin,3,20+,generalist, SC,South,US,OT,female,0,0
443,0,instructionaltech,2,11 to 20,generalist, NY,Northeast,US,N,female,0,0
444,1,otheredprof,3,20+,generalist, NC,South,US,N,male,0,0
445,1,otheredprof,3,20+,generalist, NC,South,US,N,female,0,0
